SYMBOL,Security Name
ABB,ABB India Limited
AEGISLOG,AEGIS LOGISTICS LTD.
ARE&M,Amara Raja Energy & Mobility Ltd
AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.
ANDHRAPET,ANDHRA PETROCHEMICALS LTD.
UTIQUE,Utique Enterprises Ltd
ARUNAHTEL,ARUNA HOTELS LTD.
BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.
ASIANHOTNR,Asian Hotels (North) Limited
ATUL,ATUL LTD.
ATVPR,ATV PROJECTS INDIA LTD.
BAJAJELEC,BAJAJ ELECTRICALS LTD.-$
BAJAJHIND,Bajaj Hindusthan Sugar Limited
FORCEMOT,FORCE MOTORS LTD.-$
BAJFINANCE,Bajaj Finance Limited
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.
BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$
ABREL,Aditya Birla Real Estate Ltd
BANARISUG,BANNARI AMMAN SUGARS LTD.
BASF,BASF INDIA LTD.
BATAINDIA,BATA INDIA LTD.
BEML,BEML LTD.
BEL,BHARAT ELECTRONICS LTD.
BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$
BIHSPONG,BIHAR SPONGE IRON LTD.
BINANIIND,BINANI INDUSTRIES LTD.
BIRLACABLE,Birla Cable Ltd
BLUESTARCO,BLUE STAR LTD.
DISAQ,DISA INDIA LTD.
QUESTCAP,Quest Capital Markets Ltd
BPL,BPL LTD.
OAL,Oriental Aromatics Ltd-$
CENTEXT,CENTURY EXTRUSIONS LTD.
CESC,CESC LTD.
CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.
EXIDEIND,EXIDE INDUSTRIES LTD.
CIPLA,CIPLA LTD.
DICIND,DIC INDIA LTD.
CRISIL,CRISIL LTD.
CGPOWER,CG Power and Industrial Solutions Ltd
DABUR,DABUR INDIA LTD.
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd
ARVIND,ARVIND LTD.
BHEL,BHARAT HEAVY ELECTRICALS LTD.
HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.
IFCI,IFCI LTD.
MTNL,MAHANAGAR TELEPHONE NIGAM LTD.
MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.
CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.
SBIN,STATE BANK OF INDIA
SAIL,STEEL AUTHORITY OF INDIA LTD.
TITAN,Titan Company Limited
IDBI,IDBI BANK LTD.
DCW,DCW LTD.
DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.
